date,time,BAM,TEOM
20130128,1900,20,11
20130128,1959,16,9
20130128,2100,7,10
20130128,2200,10,12
20130128,2259,14,9
20130129,0,18,10
20130129,100,14,9
20130129,159,17,8
20130129,300,14,10
20130129,400,17,9
20130129,459,13,11
20130129,600,16,9
20130129,700,21,13
20130129,759,16,21
20130129,900,20,15
20130129,1000,23,15
20130129,1059,22,17
20130129,1200,17,16
20130129,1300,24,21
20130129,1359,32,16
20130129,1500,26,13
20130129,1600,22,12
20130129,1659,16,10
20130129,1800,23,15
20130129,1900,20,8
20130129,1959,22,10
20130129,2100,11,15
20130129,2200,7,19
20130129,2259,8,17
20130130,0,19,12
20130130,100,17,11
20130130,159,12,11
20130130,300,13,10
20130130,400,18,10
20130130,459,11,11
20130130,600,11,10
20130130,700,19,14
20130130,759,19,18
20130130,900,20,16
20130130,1000,21,17
20130130,1059,24,24
20130130,1200,27,21
20130130,1300,29,16
20130130,1359,20,17
20130130,1500,22,20
20130130,1600,19,17
20130130,1659,24,16
20130130,1800,20,17
20130130,1900,19,18
20130130,1959,21,15
20130130,2100,19,15
20130130,2200,11,15
20130130,2259,13,13
20130131,0,15,9
20130131,100,16,11
20130131,159,19,12
20130131,300,21,12
20130131,400,17,14
20130131,459,11,12
20130131,600,21,13
20130131,700,19,19
20130131,759,24,25
20130131,900,25,22
20130131,1000,33,25
20130131,1059,33,27
20130131,1200,40,25
20130131,1300,35,24
20130131,1359,30,23
20130131,1500,32,22
20130131,1600,25,19
20130131,1659,33,22
20130131,1800,33,22
20130131,1900,24,16
20130131,1959,27,19
20130131,2100,22,20
20130131,2200,20,18
20130131,2259,24,19
20130201,0,28,17
20130201,100,23,16
20130201,159,30,20
20130201,300,22,16
20130201,400,18,13
20130201,459,22,14
20130201,600,21,14
20130201,700,20,19
20130201,759,32,27
20130201,900,29,25
20130201,1000,44,29
20130201,1059,48,30
20130201,1200,45,30
20130201,1300,49,31
20130201,1359,40,21
20130201,1500,38,20
20130201,1600,37,24
20130201,1659,30,17
20130201,1800,24,19
20130201,1900,27,26
20130201,1959,30,25
20130201,2100,27,22
20130201,2200,25,24
20130201,2259,34,24
20130202,0,28,26
20130202,100,37,22
20130202,159,35,21
20130202,300,31,21
20130202,400,29,15
20130202,459,33,17
20130202,600,28,19
20130202,700,24,18
20130202,759,28,26
20130202,900,34,24
20130202,1000,33,31
20130202,1059,47,29
20130202,1200,41,30
20130202,1300,38,24
20130202,1359,39,25
20130202,1500,36,14
20130202,1600,26,18
20130202,1659,25,14
20130202,1800,21,9
20130202,1900,23,14
20130202,1959,22,22
20130202,2100,24,17
20130202,2200,11,19
20130202,2259,14,14
20130203,0,21,17
20130203,100,20,15
20130203,159,17,16
20130203,300,27,15
20130203,400,25,15
20130203,459,24,14
20130203,600,21,21
20130203,700,22,17
20130203,759,18,16
20130203,900,26,14
20130203,1000,23,18
20130203,1059,20,20
20130203,1200,21,17
20130203,1300,21,19
20130203,1359,29,20
20130203,1500,33,23
20130203,1600,31,21
20130203,1659,25,14
20130203,1800,24,22
20130203,1900,27,14
20130203,1959,15,13
20130203,2100,17,12
20130203,2200,7,15
20130203,2259,10,12
20130204,0,13,8
20130204,100,13,10
20130204,159,14,11
20130204,300,14,11
20130204,400,14,11
20130204,459,17,11
20130204,600,14,11
20130204,700,14,17
20130204,759,23,12
20130204,900,18,14
20130204,1000,22,18
20130204,1059,22,15
20130204,1200,18,20
20130204,1300,15,22
20130204,1359,25,22
20130204,1500,22,20
20130204,1600,23,23
20130204,1659,29,22
20130204,1800,23,24
20130204,1900,28,21
20130204,1959,24,22
20130204,2100,21,21
20130204,2200,16,18
20130204,2259,25,20
20130205,0,22,16
20130205,100,22,17
20130205,159,21,16
20130205,300,21,17
20130205,400,23,15
20130205,459,20,18
20130205,600,19,18
20130205,700,28,22
20130205,759,35,26
20130205,900,28,29
20130205,1000,36,35
20130205,1059,39,38
20130205,1200,41,29
20130205,1300,38,28
20130205,1359,35,25
20130205,1500,31,23
20130205,1600,33,24
20130205,1659,29,16
20130205,1800,25,18
20130205,1900,24,19
20130205,1959,24,20
20130205,2100,22,19
20130205,2200,18,16
20130205,2259,22,19
20130206,0,26,17
20130206,100,23,18
20130206,159,19,15
20130206,300,21,15
20130206,400,31,17
20130206,459,24,16
20130206,600,25,16
20130206,700,22,22
20130206,759,27,26
20130206,900,30,24
20130206,1000,36,26
20130206,1059,40,28
20130206,1200,45,23
20130206,1300,38,20
20130206,1359,37,23
20130206,1500,31,27
20130206,1600,34,21
20130206,1659,27,18
20130206,1800,25,20
20130206,1900,29,20
20130206,1959,22,18
20130206,2100,20,19
20130206,2200,26,20
20130206,2259,25,21
20130207,0,25,19
20130207,100,28,18
20130207,159,23,19
20130207,300,21,14
20130207,400,28,17
20130207,459,23,16
20130207,600,23,16
20130207,700,20,17
20130207,759,19,22
20130207,900,28,20
20130207,1000,32,23
20130207,1059,31,25
20130207,1200,38,21
20130207,1300,34,23
20130207,1359,28,27
20130207,1500,33,21
20130207,1600,26,24
20130207,1659,40,21
20130207,1800,33,21
20130207,1900,24,25
20130207,1959,30,18
20130207,2100,17,16
20130207,2200,16,14
20130207,2259,16,14
20130208,0,24,14
20130208,100,24,15
20130208,159,21,13
20130208,300,19,13
20130208,400,22,14
20130208,459,18,12
20130208,600,20,14
20130208,700,23,14
20130208,759,20,22
20130208,900,29,18
20130208,1000,26,19
20130208,1059,30,22
20130208,1200,33,22
20130208,1300,32,19
20130208,1359,28,18
20130208,1500,24,13
20130208,1600,20,15
20130208,1659,23,17
20130208,1800,20,16
20130208,1900,21,14
20130208,1959,19,15
20130208,2100,22,14
20130208,2200,15,13
20130208,2259,16,9
20130209,0,18,11
20130209,100,16,10
20130209,159,14,10
20130209,300,20,9
20130209,400,17,14
20130209,459,17,5
20130209,600,14,8
20130209,700,13,8
20130209,759,15,10
20130209,900,12,11
20130209,1000,12,9
20130209,1059,15,12
20130209,1200,14,11
20130209,1300,15,11
20130209,1359,18,11
20130209,1500,27,13
20130209,1600,26,11
20130209,1659,31,13
20130209,1800,14,15
20130209,1900,21,12
20130209,1959,18,8
20130209,2100,15,7
20130209,2200,11,9
20130209,2259,10,10
20130210,0,12,11
20130210,100,18,12
20130210,159,14,8
20130210,300,12,9
20130210,400,13,3
20130210,459,14,7
20130210,600,14,8
20130210,700,14,7
20130210,759,14,7
20130210,900,12,15
20130210,1000,14,11
20130210,1059,24,11
20130210,1200,23,7
20130210,1300,16,12
20130210,1359,13,9
20130210,1500,14,15
20130210,1600,20,19
20130210,1659,19,9
20130210,1800,20,17
20130210,1900,21,7
20130210,1959,17,10
20130210,2100,14,9
